"CID","CanonicalSMILES","IsomericSMILES"
1074953,"C1COCCN1C2=C(C(=O)N(C2=O)C3=CC(=C(C=C3)Cl)Cl)Cl","C1COCCN1C2=C(C(=O)N(C2=O)C3=CC(=C(C=C3)Cl)Cl)Cl"
1117196,"CC1=C(N2C=CC=NC2=N1)C3=CSC(=N3)NC4=C(C=C(C=C4Br)OC)Br","CC1=C(N2C=CC=NC2=N1)C3=CSC(=N3)NC4=C(C=C(C=C4Br)OC)Br"
1361332,"C1=CC(=CC(=C1)C(F)(F)F)C=C2C(=O)NC(=O)S2","C1=CC(=CC(=C1)C(F)(F)F)/C=C/2\C(=O)NC(=O)S2"
1547484,"C1CN(CCN1CC=CC2=CC=CC=C2)C(C3=CC=CC=C3)C4=CC=CC=C4","C1CN(CCN1C/C=C/C2=CC=CC=C2)C(C3=CC=CC=C3)C4=CC=CC=C4"
1548943,"CC(C)C=CCCCCC(=O)NCC1=CC(=C(C=C1)O)OC","CC(C)/C=C/CCCCC(=O)NCC1=CC(=C(C=C1)O)OC"
1548955,"CCN(CC)CCOC1=CC=C(C=C1)C(=C(C2=CC=CC=C2)Cl)C3=CC=CC=C3","CCN(CC)CCOC1=CC=C(C=C1)/C(=C(/C2=CC=CC=C2)\Cl)/C3=CC=CC=C3"
1549000,"C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl","C1CN(CCN1CCOCC(=O)O)[C@H](C2=CC=CC=C2)C3=CC=C(C=C3)Cl"
1549158,"C1=CC(=CC=C1NN=C(N)N)N=NC(=S)N","C1=CC(=CC=C1NN=C(N)N)N=NC(=S)N"
1550234,"COC1=C(C=CC(=C1)C=C2CCCC(=CC3=CC(=C(C=C3)O)OC)C2=O)O","COC1=C(C=CC(=C1)/C=C\2/C(=O)/C(=C/C3=CC(=C(C=C3)O)OC)/CCC2)O"
1550286,"CC1=CC=C(C=C1)S(=O)(=O)NC(CCCN=C(N)N)C(=O)OC","CC1=CC=C(C=C1)S(=O)(=O)N[C@@H](CCCN=C(N)N)C(=O)OC"
1794427,"C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O","C1[C@H]([C@H]([C@@H](C[C@@]1(C(=O)O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)O"
